Areaname,STCOU,PST045202D
"Oglethorpe, GA",13221,13083
"Paulding, GA",13223,93888
"Peach, GA",13225,24197
"Pickens, GA",13227,25575
"Pierce, GA",13229,15989
"Pike, GA",13231,14610
"Polk, GA",13233,39409
"Pulaski, GA",13235,9664
"Putnam, GA",13237,19229
"Quitman, GA",13239,2584
"Rabun, GA",13241,15554
"Randolph, GA",13243,7583
"Richmond, GA",13245,199092
"Rockdale, GA",13247,72987
"Schley, GA",13249,3793
"Screven, GA",13251,15327
"Seminole, GA",13253,9290
"Spalding, GA",13255,59868
"Stephens, GA",13257,25586
"Stewart, GA",13259,5097
"Sumter, GA",13261,33088
"Talbot, GA",13263,6600
"Taliaferro, GA",13265,2039
"Tattnall, GA",13267,22121
"Taylor, GA",13269,8798
"Telfair, GA",13271,11564
"Terrell, GA",13273,10823
"Thomas, GA",13275,42916
"Tift, GA",13277,38949
"Toombs, GA",13279,26128
"Towns, GA",13281,9678
"Treutlen, GA",13283,6924
"Troup, GA",13285,59828
"Turner, GA",13287,9633
"Twiggs, GA",13289,10725
"Union, GA",13291,18352
"Upson, GA",13293,27580
"Walker, GA",13295,61964
"Walton, GA",13297,66856
"Ware, GA",13299,35152
"Warren, GA",13301,6249
"Washington, GA",13303,20908
"Wayne, GA",13305,27207
"Webster, GA",13307,2247
"Wheeler, GA",13309,6539
"White, GA",13311,21929
"Whitfield, GA",13313,86381
"Wilcox, GA",13315,8659
"Wilkes, GA",13317,10605
"Wilkinson, GA",13319,10238
"Worth, GA",13321,21767
HAWAII,15000,1228069
"Hawaii, HI",15001,153170
"Honolulu, HI",15003,882628
"Kalawao, HI",15005,133
"Kauai, HI",15007,59466
"Maui, HI",15009,132672
IDAHO,16000,1342149
"Ada, ID",16001,320917
"Adams, ID",16003,3438
"Bannock, ID",16005,77213
"Bear Lake, ID",16007,6164
"Benewah, ID",16009,8922
"Bingham, ID",16011,42015
"Blaine, ID",16013,20338
"Boise, ID",16015,6988
"Bonner, ID",16017,37784
"Bonneville, ID",16019,84643
"Boundary, ID",16021,9876
"Butte, ID",16023,2893
"Camas, ID",16025,1027
"Canyon, ID",16027,144936
"Caribou, ID",16029,7169
"Cassia, ID",16031,21336
"Clark, ID",16033,945
"Clearwater, ID",16035,8395
"Custer, ID",16037,4123
"Elmore, ID",16039,29307
"Franklin, ID",16041,11660
"Fremont, ID",16043,11935
"Gem, ID",16045,15394
"Gooding, ID",16047,14174
"Idaho, ID",16049,15339
"Jefferson, ID",16051,19646
"Jerome, ID",16053,18545
"Kootenai, ID",16055,114000
"Latah, ID",16057,35599
"Lemhi, ID",16059,7598
"Lewis, ID",16061,3648
"Lincoln, ID",16063,4143
"Madison, ID",16065,29654
"Minidoka, ID",16067,19397
"Nez Perce, ID",16069,37124
"Oneida, ID",16071,4116
"Owyhee, ID",16073,10793
"Payette, ID",16075,21059
"Power, ID",16077,7479
"Shoshone, ID",16079,12983
"Teton, ID",16081,6733
"Twin Falls, ID",16083,65295
"Valley, ID",16085,7515
"Washington, ID",16087,9891
ILLINOIS,17000,12558229
"Adams, IL",17001,67765
"Alexander, IL",17003,9398
"Bond, IL",17005,17794
"Boone, IL",17007,44508
"Brown, IL",17009,6831
"Bureau, IL",17011,34995
"Calhoun, IL",17013,4974
"Carroll, IL",17015,16365
"Cass, IL",17017,13531
"Champaign, IL",17019,183102
"Christian, IL",17021,35022
"Clark, IL",17023,16904
"Clay, IL",17025,14147
"Clinton, IL",17027,35719
"Coles, IL",17029,52013
"Cook, IL",17031,5355574
"Crawford, IL",17033,20086
"Cumberland, IL",17035,11051
"DeKalb, IL",17037,92449
"De Witt, IL",17039,16546
"Douglas, IL",17041,19825
"DuPage, IL",17043,918864
"Edgar, IL",17045,19339
"Edwards, IL",17047,6799
"Effingham, IL",17049,34309
"Fayette, IL",17051,21490
"Ford, IL",17053,14087
"Franklin, IL",17055,38842
"Fulton, IL",17057,37488
"Gallatin, IL",17059,6175
"Greene, IL",17061,14588
"Grundy, IL",17063,38624
"Hamilton, IL",17065,8370
"Hancock, IL",17067,19590
"Hardin, IL",17069,4701
"Henderson, IL",17071,8103
"Henry, IL",17073,50166
"Iroquois, IL",17075,30698
"Jackson, IL",17077,58577
"Jasper, IL",17079,9972
"Jefferson, IL",17081,40028
"Jersey, IL",17083,21898
"Jo Daviess, IL",17085,22305
"Johnson, IL",17087,12715
"Kane, IL",17089,440157
"Kankakee, IL",17091,105416
"Kendall, IL",17093,61755
"Knox, IL",17095,54650
"Lake, IL",17097,671443
"LaSalle, IL",17099,111504
"Lawrence, IL",17101,16042
"Lee, IL",17103,35477
"Livingston, IL",17105,39111
"Logan, IL",17107,30713
"McDonough, IL",17109,32813
"McHenry, IL",17111,278222
"McLean, IL",17113,155630
"Macon, IL",17115,111980
"Macoupin, IL",17117,48769
"Madison, IL",17119,261346
"Marion, IL",17121,40893
"Marshall, IL",17123,12941
"Mason, IL",17125,15851
"Massac, IL",17127,15103
"Menard, IL",17129,12473
"Mercer, IL",17131,16872
"Monroe, IL",17133,29195
"Montgomery, IL",17135,30440
"Morgan, IL",17137,36064
"Moultrie, IL",17139,14267
"Ogle, IL",17141,52138
"Peoria, IL",17143,182453
"Perry, IL",17145,22719
"Piatt, IL",17147,16162
"Pike, IL",17149,16986
"Pope, IL",17151,4292
"Pulaski, IL",17153,7083
"Putnam, IL",17155,6068
"Randolph, IL",17157,33273
"Richland, IL",17159,16155
"Rock Island, IL",17161,148140
"St. Clair, IL",17163,257123
"Saline, IL",17165,26269
"Sangamon, IL",17167,191486
"Schuyler, IL",17169,6998
"Scott, IL",17171,5452
"Shelby, IL",17173,22490
"Stark, IL",17175,6255
"Stephenson, IL",17177,48034
"Tazewell, IL",17179,128107
"Union, IL",17181,18108
"Vermilion, IL",17183,82909
"Wabash, IL",17185,12633
"Warren, IL",17187,18327
"Washington, IL",17189,15084
"Wayne, IL",17191,16914
"White, IL",17193,15100
"Whiteside, IL",17195,60092
"Will, IL",17197,555566
"Williamson, IL",17199,62089
"Winnebago, IL",17201,282572
"Woodford, IL",17203,35698
INDIANA,18000,6149007
"Adams, IN",18001,33516
"Allen, IN",18003,337069
"Bartholomew, IN",18005,71712
"Benton, IN",18007,9131
"Blackford, IN",18009,13759
"Boone, IN",18011,48171
"Brown, IN",18013,15174
"Carroll, IN",18015,20192
"Cass, IN",18017,40380
"Clark, IN",18019,97882
"Clay, IN",18021,26393
"Clinton, IN",18023,33873
"Crawford, IN",18025,10949
"Daviess, IN",18027,29659
"Dearborn, IN",18029,47147
"Decatur, IN",18031,24656
"DeKalb, IN",18033,40621
"Delaware, IN",18035,119400
"Dubois, IN",18037,39977
"Elkhart, IN",18039,185148
"Fayette, IN",18041,25061
"Floyd, IN",18043,71436
"Fountain, IN",18045,17734
"Franklin, IN",18047,22419
"Fulton, IN",18049,20368
"Gibson, IN",18051,32577
"Grant, IN",18053,72087
"Greene, IN",18055,32967
"Hamilton, IN",18057,207867
"Hancock, IN",18059,57980
"Harrison, IN",18061,35051
"Hendricks, IN",18063,114677
"Henry, IN",18065,47956
"Howard, IN",18067,84597
"Huntington, IN",18069,38152
"Jackson, IN",18071,41428
"Jasper, IN",18073,30384
"Jay, IN",18075,21640
"Jefferson, IN",18077,31972
"Jennings, IN",18079,28031
"Johnson, IN",18081,121883
"Knox, IN",18083,38774
"Kosciusko, IN",18085,74739
"LaGrange, IN",18087,35522
"Lake, IN",18089,483991
"LaPorte, IN",18091,109441
"Lawrence, IN",18093,45964
"Madison, IN",18095,132443
"Marion, IN",18097,864857
"Marshall, IN",18099,45453
"Martin, IN",18101,10277
